職務名稱,公司名稱,區域,薪資,工作內容
資料分析師,烏龜移動科技股份有限公司,台北市松山區,待遇面議,"<p class=""job-list-item__info b-clearfix b-content"">蝙蝠移動的核心服務是提供客戶專屬的私有化 DMP（Data Management Platform 數據分析管理平台）。和每個客戶一起建立真正屬於自己產業 domain-knowledge 的數據分析管理平台，從技術和商業策略兩個面向完整的走完這個 Data Journey~

蝙蝠移動公司官網：
http://www.batmobile.com.tw

媒體報導：
1. https://www.inside.com.tw/2017/03/15/dmp
2. http://www.brain.com.tw/news/articlecontent?ID=44515&amp;sort
3. http://www.brain.com.tw/news/articlecontent?ID=23162&amp;sort=

1. 數據分析、挖掘、建模、模式評估等相關工作，並進行模型評估 
2. 資料視覺化設計
3. 熟悉預測方法、發展推薦演算法、個人化演算法
4. 爬蟲程式開發，並進行文字探勘</p>"
資料分析師(總部),福清營造股份有限公司,台北市內湖區,待遇面議,"<p class=""job-list-item__info b-clearfix b-content"">1.以EXCEL建置數據資料庫。 

2.配合需求製作各項EXCEL報表。 

3.分析平台資料，提出異常報告。</p>"
AD10152 品質資料分析師,華碩電腦股份有限公司,台北市北投區,"月薪30,000元以上","<p class=""job-list-item__info b-clearfix b-content"">1. 彙整全球(WW/Region/Model)產品品質資料進行統計與分析，提供品質改善方向。
2. 利用軟體工具進行大數據資料處理。
3. 以數據分析協助流程或產品品質改善。
4. 監控全球(WW/Region/Model) 品質指標，針對產品異常提出先期預警。
5. 監控換料耗用趨勢確認是否為品質異常</p>"
資料分析師 (Data Analyst),亞洲指標數位行銷顧問股份有限公司,台北市松山區,"月薪35,000~55,000元","<p class=""job-list-item__info b-clearfix b-content"">i-Buzz的核心理念是數據推動行銷策略，透過網路語料觀察與混搭資料研究進行開發，提供客戶深化的資料分析結果。另外欲透過自營的數位產品，挖掘使用者的行為數據，提供產品更好的體驗。

職務內容如下：
1. 文字探勘(80%工作碰到的資料都是文字語料)
2. 進行資料建模
3. 資料視覺化處理
4. 開發預測模型
5. 發展推薦演算法、個人化演算法

此職缺需熟悉統計分析、Python或R語言、Machine Learning、MongoDB、SQL，有API串接或開發的經驗。

誠摯歡迎符合以上條件，且具責任心、勇於接受挑戰者的加入。</p>"
資深商業資料分析師 (Senior Business Analytics Manager),貝立德股份有限公司,台北市信義區,待遇面議,"<p class=""job-list-item__info b-clearfix b-content"">Duties &amp; Responsibilities 
1.	規劃數據藍圖，負責推展數據研究優化計畫以及數據資訊架構建置
2.	針對商業研究議題，主持研究課題，跨部門溝通協調，訂定研究工作計劃，根據數據進行分析推論、提出洞見以及建議行動方案。
3.	營運指標建置與 Dashboard 設計維運 
4.	評估與導入數據相關新系統之規劃與建置作業，協助專案工作執行

Qualifications 
1.	工作經驗至少3年。 
2.	學歷：大學以上商學、統計、數學、電算、數據以及資料科學等相關科系
3.	技能：熟習商業分析、數據研究以及數據工程的運作與流程，具備分析與技術工具使用經驗 (GA、GTM、Data Studio、Python、Big Query 等)，熟悉 MYSQL/MSSQL 等資料庫分析工具
4.	經驗：具產業商業與數據分析實務經驗三年以上，習慣創新與步調快速的環境，主動積極、擅溝通、團隊合作、抗壓性強
</p>"
客群資料分析師,台北富邦商業銀行股份有限公司,台北市大安區,待遇面議,"<p class=""job-list-item__info b-clearfix b-content"">◆職位目的：
  透過客群經營分析，擬定商業策略，發掘潛在商機。

◆重要職責/工作內容：
● 客群分析：針對薪轉戶、退休族、小富翁及家庭理財會員等子客群，進行客戶行為樣態及交易數據量化分析，擬定商業策略，規劃符合子客群需求的產品及服務。
● 業務診斷：已多變量統計及視覺劃報表，追蹤各子客群動態及經營成效，規劃因應策略，從中發掘客群經營機會及產品跨售商機。</p>"
【採線上面談】Data Analyst 資料分析師,新加坡商鈦坦科技股份有限公司台灣分公司,台北市南港區,待遇面議,"<p class=""job-list-item__info b-clearfix b-content"">【Game changer, armed with data.】
    You know all about our users, through data analysis. And because you do, you can 
identify issues and present insights to our Product Owners, spurring them into 
action. Working with your team, you play a key role in enhancing our business 
value. After all, you're the one who ignited the spark. And no spark, no fire.

【What a Data Analyst does in Titansoft】
．Conduct data analysis to support Product Owner and Business Leaders in business 
    decisions and requirements
．Develop and automate reports for analytical purposes
．Collaborate with other Product Development teams to understand their business 
    needs, formulate and complete end-to-end analysis that includes data gathering, 
    analysis, ongoing scaled deliverables and presentations
．Support key decision makers to improve products and services

【What we are looking for in a Data Analyst】
  1. Qualifications：
      Minimum Bachelor in Mathematics, Statistics, Finance, Computer Science, 
      Information Technology or other equivalent qualifications

  2. Experience：
  ．Experience working with statistical software (e.g. R, Python, Excel, etc.) Basic 
    statistical principles and practical applications
  ．Experience in measuring cost and production
  ．Experience in scripting with SQL

  3. Skills：
  ．A/B and Multivariate testing management
  ．Data visualization (such as Tableau, Excel, etc)
．Ability to translate analysis results into business recommendations and insights
．Ability to present the insights clearly to technical and non-technical audiences
．Strong written, verbal communication and presentations skills

【What makes a (Super!) Data Analyst in Titansoft AKA the ""great to haves""】
    Deep interest and aptitude in data, metrics, analysis and trends, and applied 
    knowledge of measurement, statistics and program evaluation</p>"
SA20088 資料分析師(Google Tag Manager、Google Analytics 與SEO),華碩電腦股份有限公司,台北市北投區,待遇面議,"<p class=""job-list-item__info b-clearfix b-content"">這是一個支援全球 scale 的團隊，我們進行研究、實驗、建立政策、製作指導文件、發展課程，透過各種溝通方式及規模不一的專案合作，讓公司的數位行銷往最新且正確的方向發展。我們期許自己能在世界級的難題中提供世界級的解決方案。這是我們要求英文能力、細心及積極的原因。

1.全球數據追蹤分析需求支援與維運。
2.數據分析工具架構佈建、使用諮詢與管理 。
3.HQ &amp; Local 數據分析 與 SEO 觀念與操作諮詢。
4.Google與Facebook廣告平台技術導入與新應用研究，追蹤基礎佈建，再行銷廣告設定建議與協助。
5.產品與平台數據追蹤與SEO優化：官網、商城、Support、ROG、MyASUS (APP)。</p>"
035GKC_資料分析師/演算法工程師,神通資訊科技股份有限公司,台北市內湖區,待遇面議,"<p class=""job-list-item__info b-clearfix b-content"">1.資料分析、模型建立、運用分析工具提供商業智慧；
2.用戶溝通討論，協助用戶釐清需求，提出資料運用模型；
3.透過統計，演算模型，機器學習手法分析資料，提出解決問題的方案；
4.設計資料分析的方法，規劃資料分析服務的內容；
5.能夠團隊合作，與不同領域的人員協同運作，進行資料分析工作。
※工作待遇：將依學經歷進行敘薪。</p>"
資料分析師,寶勝國際(控股)_寶原興業股份有限公司,台北市松山區,待遇面議,"<p class=""job-list-item__info b-clearfix b-content"">大中華區有近萬間店鋪的寶勝集團
正在全力發展新零售
團隊的目標在開創新時代的運動零售體驗

你將負責分析BI與會員資料庫數據
主動從數據中挖掘消費者洞察，以客觀事實輔佐各部門決策及行動
使團隊能在不確定性中找到方向，進而優化營運、達到行銷目標

集團有充足的資源讓你一展長才、改變會員的生活
如果你也熱愛運動、充滿活力、具有開創性的思維與務實的執行能力
歡迎加入我們！一起成為改變產業的先行者

1. 會員資料分析，運用演算法建立模型及優化，固定產出視覺化報表。
2. 會員輪廓分析、行銷檔期名單產出，並提出CRM經營建議。
3. 行銷資源、零售通路貢獻度等效益分析，以數據驅動行銷及零售運營團隊。
4. 一同制定會員分群經營策略、方案執行與成果分析。
5. 其它主管交辦事項。</p>"
資料分析師,精藤股份有限公司,台北市中山區,待遇面議,"<p class=""job-list-item__info b-clearfix b-content"">精藤公司為【全家便利商店股份有限公司】之子公司，精藤做為集團資訊整合的中心，不但承擔著集團「系統整合」及「Know-How彙整」的責任，同時也扮演了集團最堅強的技術發展領航者及實踐者。

而支援這團隊成長的背後，除了穩定成長的零售通路資訊發展需求以外，亦包含了精藤20年來不斷精進的程式開發技術以及重視團隊合作的組織文化。

在精藤，除了可以學習各項資訊系統規劃、開發、監控與維護（如：物流管理系統、帳務管理系統、商品管理系統，與情報分析系統......等數以百計的資訊系統，精藤皆自行開發與維護），更有完善的公司治理與開發標準，可做為所有資訊人員執行專案時的後盾。

除此之外，精藤近年來亦不斷追求更多新領域的發展，例如：雲端科技應用、大數據資料分析以及行動裝置管理技術等等，誠摯的歡迎所有對於零售流通有興趣的伙伴一同加入精藤的大家庭。

本公司資料分析師之職務內容如下：
1. 數據清理、數據標籤定義與採集
2. 數據結果給予最佳視覺化建議與呈現
3. 對於各系統間數據的串接與整合分析、建模分析(Modeling)等
4. 規劃並執行數據相關的分析專案

此職缺需熟悉統計分析、SQL、Python、R語言、Machine Learning與SPSS，且具備資料分析2年以上工作經驗。誠摯歡迎符合以上條件，且具責任心、勇於接受挑戰者的加入。</p>"
